angry0,angry1,angry2,box0,box1,box2,disgust0,disgust1,disgust2,fear0,fear1,fear2,happy0,happy1,happy2,neutral0,neutral1,neutral2,sad0,sad1,sad2,surprise0,surprise1,surprise2
0.14,,,"[50, 610, 68, 76]",,,0.0,,,0.07,,,0.16,,,0.05,,,0.57,,,0.01,,
0.32,,,"[505, 17, 273, 331]",,,0.0,,,0.23,,,0.17,,,0.09,,,0.16,,,0.03,,
0.09,,,"[496, -20, 275, 328]",,,0.0,,,0.22,,,0.09,,,0.22,,,0.37,,,0.02,,
0.1,,,"[434, -80, 276, 331]",,,0.01,,,0.14,,,0.03,,,0.23,,,0.48,,,0.01,,
0.06,0.24,,"[403, -7, 269, 300]","[-16, 535, 81, 108]",,0.0,0.0,,0.07,0.1,,0.09,0.35,,0.4,0.07,,0.37,0.24,,0.0,0.0,
0.12,0.17,,"[380, -7, 280, 322]","[55, 644, 57, 66]",,0.0,0.0,,0.05,0.08,,0.01,0.14,,0.49,0.07,,0.33,0.52,,0.0,0.01,
0.18,,,"[355, -57, 315, 384]",,,0.0,,,0.05,,,0.04,,,0.5,,,0.21,,,0.01,,
0.14,,,"[360, -64, 330, 403]",,,0.0,,,0.12,,,0.41,,,0.08,,,0.2,,,0.05,,
0.23,0.11,,"[377, -70, 367, 446]","[-28, 532, 95, 127]",,0.0,0.0,,0.04,0.27,,0.37,0.08,,0.19,0.1,,0.12,0.41,,0.05,0.02,
0.18,,,"[375, -37, 398, 477]",,,0.0,,,0.07,,,0.39,,,0.17,,,0.12,,,0.06,,
0.16,,,"[-24, 537, 90, 117]",,,0.0,,,0.16,,,0.22,,,0.11,,,0.34,,,0.02,,
0.27,0.04,,"[416, 32, 453, 566]","[454, 574, 113, 152]",,0.0,0.0,,0.24,0.09,,0.01,0.1,,0.26,0.62,,0.19,0.13,,0.03,0.02,
0.02,,,"[466, 579, 122, 170]",,,0.0,,,0.19,,,0.4,,,0.29,,,0.02,,,0.08,,
0.25,,,"[607, 440, 182, 204]",,,0.01,,,0.13,,,0.06,,,0.01,,,0.53,,,0.01,,
